epoch,grad/last_mlp,grad/lm_head,grad/q_head,grad/total_norm,step,train/accuracy,train/early_halt_rate,train/exact_accuracy,train/lm_loss,train/lr,train/q_halt_accuracy,train/q_halt_loss,train/steps,val/accuracy,val/exact_accuracy,val/lm_loss,val/loss,val/q_halt_accuracy,val/q_halt_loss,val/steps
8,0.2426167130470276,0.2583144009113312,0.009123953990638256,0.604306697845459,49,,,,,2.4500000108673703e-06,,,,,,,,,,
9,,,,,59,,,,,,,,,0.11370354890823364,0.0,2.3644886016845703,2.3678462505340576,1.0,0.006715297698974609,16.0
16,0.2331991195678711,0.251398503780365,0.009147929958999157,0.5925463438034058,99,,,,,4.949999947712058e-06,,,,,,,,,,
19,,,,,119,,,,,,,,,0.1116272583603859,0.0,2.36015248298645,2.3635101318359375,1.0,0.006715297698974609,16.0
24,0.21733245253562927,0.23851557075977325,0.009109403938055038,0.577589750289917,149,,,,,7.449999884556746e-06,,,,,,,,,,
29,,,,,179,,,,,,,,,0.1152871623635292,0.0,2.349015951156616,2.3523736000061035,1.0,0.006715297698974609,16.0
33,0.1894204169511795,0.21976588666439056,0.007703840266913176,0.5559121966362,199,,,,,9.950000276148785e-06,,,,,,,,,,
39,,,,,239,,,,,,,,,0.12148085981607437,0.0,2.3309335708618164,2.3342912197113037,1.0,0.006715297698974609,16.0
41,0.14781735837459564,0.1847282499074936,0.00998636893928051,0.489985853433609,249,,,,,1.2450000212993473e-05,,,,,,,,,,
49,0.0954659953713417,0.1090565025806427,0.01614411547780037,0.31356871128082275,299,,,,,1.495000014983816e-05,,,,,,,,,,
49,,,,,299,,,,,,,,,0.12718187272548676,0.0,2.300323486328125,2.303680896759033,1.0,0.006714543327689171,16.0
58,0.07440712302923203,0.07373761385679245,0.02209586836397648,0.2214682251214981,349,,,,,1.745000008668285e-05,,,,,,,,,,
59,,,,,359,,,,,,,,,0.14280687272548676,0.0,2.261859655380249,2.2652034759521484,1.0,0.006687822286039591,16.0
66,0.07953424006700516,0.06363936513662338,0.02119714580476284,0.2701801061630249,399,0.43918919563293457,0.0,0.0,1.542406284526606,1.9949999114032835e-05,1.0,0.0038476884365081787,16.0,,,,,,,
69,,,,,419,,,,,,,,,0.1552998274564743,0.0,2.2177202701568604,2.221040725708008,1.0,0.0066408864222466946,16.0
74,0.07221607863903046,0.059263989329338074,0.017590060830116272,0.28490734100341797,449,0.4947916567325592,0.0,0.0,1.371411740240965,2.2449999960372224e-05,1.0,0.0030152935069054365,16.0,,,,,,,
79,,,,,479,,,,,,,,,0.17300112545490265,0.0,2.1677844524383545,2.171085834503174,1.0,0.006603056099265814,16.0
83,0.05031203478574753,0.043742768466472626,0.013478806242346764,0.2243213951587677,499,,,,,2.4950000806711614e-05,,,,,,,,,,
89,,,,,539,,,,,,,,,0.18957631289958954,0.0,2.1103928089141846,2.113671064376831,1.0,0.006556426640599966,16.0
91,0.03994345664978027,0.039823248982429504,0.010509664192795753,0.17673419415950775,549,,,,,2.74499998340616e-05,,,,,,,,,,
99,0.03766508027911186,0.04090453311800957,0.008111427538096905,0.15239419043064117,599,,,,,2.995000068040099e-05,,,,,,,,,,
99,,,,,599,,,,,,,,,0.2186092585325241,0.0,2.045469284057617,2.0487122535705566,1.0,0.006486067082732916,16.0
108,0.045188095420598984,0.054047949612140656,0.005535012576729059,0.17367638647556305,649,,,,,3.2449999707750976e-05,,,,,,,,,,
109,,,,,659,,,,,,,,,0.24447494745254517,0.0,1.9771820306777954,1.980369210243225,1.0,0.006374411750584841,16.0
116,0.039427466690540314,0.039253197610378265,0.003968721255660057,0.17580008506774902,699,,,,,3.4950000554090366e-05,,,,,,,,,,
119,,,,,719,,,,,,,,,0.2845931947231293,0.0,1.905418038368225,1.90851891040802,1.0,0.006201807875186205,16.0
124,0.03957291692495346,0.039943043142557144,0.0031505580991506577,0.16417452692985535,749,,,,,3.7450001400429755e-05,,,,,,,,,,
129,,,,,779,,,,,,,,,0.31774353981018066,0.0,1.8303699493408203,1.833342432975769,1.0,0.005945062730461359,16.0
133,0.04172912985086441,0.040646713227033615,0.03393017500638962,0.15998004376888275,799,0.80078125,0.0,0.0065104165114462376,0.5602271453116949,3.994999860879034e-05,0.9934895634651184,0.049712520092725754,16.0,,,,,,,
139,,,,,839,,,,,,,,,0.35529279708862305,0.0,1.7527650594711304,1.7556670904159546,1.0,0.0058044432662427425,16.0
141,0.04737897962331772,0.04372963681817055,0.1188703402876854,0.1917826533317566,849,0.8469877243041992,0.0,0.02864583395421505,0.454009085418448,4.244999945512973e-05,0.9713541865348816,0.1737212985754013,16.0,,,,,,,
149,0.04954271763563156,0.04505470022559166,0.19109123945236206,0.24361194670200348,899,0.8783431649208069,0.0,0.0651041641831398,0.39280255682038145,4.495000030146912e-05,0.9348958134651184,0.2939358651638031,16.0,,,,,,,
149,,,,,899,,,,,,,,,0.3968890905380249,0.0,1.6694005727767944,1.6721524000167847,1.0,0.005504014436155558,16.0
158,0.057326409965753555,0.046923860907554626,0.4439113140106201,0.4796072840690613,949,,,,,4.745000114780851e-05,,,,,,,,,,
159,,,,,959,,,,,,,,,0.43968188762664795,0.0,1.5819460153579712,1.5845543146133423,1.0,0.005216654855757952,16.0
166,0.0615217387676239,0.06096396967768669,0.4124070405960083,0.45187753438949585,999,,,,,4.994999835616909e-05,,,,,,,,,,
169,,,,,1019,,,,,,,,,0.4738175868988037,0.0,1.4894566535949707,1.4919198751449585,1.0,0.0049264454282820225,16.0
174,0.09436224400997162,0.05433700233697891,0.16269204020500183,0.4310733675956726,1049,1.0,1.0,1.0,0.28837097872601347,5.244999920250848e-05,1.0,0.5635508894920349,5.0,,,,,,,
179,,,,,1079,,,,,,,,,0.509009063243866,0.0,1.396342396736145,1.3986897468566895,1.0,0.00469460291787982,16.0
183,0.21800488233566284,0.0347239226102829,1.3345025777816772,1.626167893409729,1099,0.9729729890823364,0.0,0.0,0.26369817766568066,5.495000004884787e-05,1.0,0.6203745603561401,16.0,,,,,,,
189,,,,,1139,,,,,,,,,0.5416315197944641,0.0,1.305754542350769,1.3080463409423828,1.0,0.00458352779969573,16.0
191,0.18407845497131348,0.03073570504784584,1.2252763509750366,1.3614879846572876,1149,0.912162184715271,0.0,0.375,0.25541522845328135,5.745000089518726e-05,0.625,0.6672806143760681,16.0,,,,,,,
199,0.19783341884613037,0.034188758581876755,1.326888084411621,1.5901256799697876,1199,1.0,0.0,1.0,0.2582924507679619,5.995000174152665e-05,0.0,0.7121772766113281,16.0,,,,,,,
199,,,,,1199,,,,,,,,,0.5675324201583862,0.0,1.2184699773788452,1.2208508253097534,1.0,0.004761648830026388,16.0
208,0.10796122997999191,0.05181044340133667,0.19790728390216827,0.3710789084434509,1249,0.9609609246253967,1.0,0.5555555820465088,0.29590304048320265,6.245000258786604e-05,0.5555555820465088,0.5847668647766113,2.0,,,,,,,
209,,,,,1259,,,,,,,,,0.5956151485443115,0.0,1.1373258829116821,1.1398099660873413,1.0,0.004968270659446716,16.0
216,0.09551572054624557,0.04148765653371811,0.2848435342311859,0.3747982978820801,1299,0.949169397354126,1.0,0.3822630047798157,0.2629725556719843,6.494999979622662e-05,0.4067278206348419,0.6093102693557739,4.70336389541626,,,,,,,
219,,,,,1319,,,,,,,,,0.6232052445411682,0.0,1.0672340393066406,1.06990385055542,1.0,0.005339587572962046,16.0
224,0.30632534623146057,0.040549200028181076,2.230320692062378,2.5052692890167236,1349,0.9549275040626526,1.0,0.45121949911117554,0.2611127621309629,6.74499970045872e-05,0.47256097197532654,0.591037392616272,5.783536434173584,,,,,,,
229,,,,,1379,,,,,,,,,0.6444960832595825,0.0,1.000975251197815,1.0039403438568115,1.0,0.005930240731686354,16.0
233,0.10466492176055908,0.029023265466094017,0.4278128445148468,0.63096684217453,1399,0.9535236358642578,1.0,0.47663551568984985,0.2493381132645523,6.99500014889054e-05,0.4953271150588989,0.5710475444793701,4.2118377685546875,,,,,,,
239,,,,,1439,,,,,,,,,0.6626548767089844,0.0,0.9387586712837219,0.9421618580818176,1.0,0.0068063591606915,16.0
